code,type,vin,description,plate,make_model,foreman
TRK-037,truck,1FTEW1KP6RKD64963,F-150,TWD3945,F-150,
TRK-038,truck,1FTEW1CB5PKF73157,F-150,VPL7462,F-150,
TRK-039,truck,1FTEW1CB2PKF73715,F-150,VPL7461,F-150,
TRK-040,truck,1FTEW1CB5PKF73191,F-150,VPM2222,F-150,
TRK-041,truck,1FT7W2BA2RED13078,F-250,VNX8590,F-250,
TRK-042,truck,1FT7W2BA2RED13873,F-250,VJB0953,F-250,
TRK-043,truck,1FT7W2BA2RED13217,F-250,VMT5561,F-250,
TRK-044,truck,1FT7W2BA4REE58008,F-250,VSN3520,F-250,
TRK-045,truck,1FTEW1CB8PKF73881,F-150,VPM2223,F-150,
TRK-046,truck,1FTEW1CB9PKF72478,F-150,VPM2224,F-150,
TRK-047,truck,1FT7W2BA4REF10222,F-250,vsn3618,F-250,
TRK-048,truck,1FT7W2BA9REF11446,F-250,vsn3619,F-250,
TRK-049,truck,1FTEW1KP3RKE78712,F-150,WGN6711,F-150,
TRK-050,truck,1FTEW1KP6SKD12495,F-150,WGN6712,F-150,
TRK-051,truck,1FTEW1KP9SKD12118,F-150,WGN6718,F-150,
TRK-052,truck,1FT7W2BA7REF36099,F-250,WGN6713,F-250,
TRK-053,truck,1FT7W2BA3REF23205,F-250,WDS3074,F-250,
TRK-054,truck,1FT7W2BA9REF22950,F-250,WGN6717,F-250,
TRK-055,truck,1FT7W2BA7REF23322,F-250,WJS5646,F-250,
TRK-056,truck,1FT7W2BA8REF23233,F-250,WDS2705,F-250,
TRK-057,truck,1FDFF6LT1TDA09011,F-650,YDT9949,F-650,
TRK-058,truck,1FD7X2BA7TEC24591,F-250,Temproary,F-250,
TRK-10001,truck,1FDFF6L2RDA34315,F550,XCY9662,F550,
TE-001,trailer,,Enclosed trailer,,Enclosed trailer,
TE-002,trailer,,Enclosed trailer,,Enclosed trailer,
TE-003,trailer,,Enclosed trailer,,Enclosed trailer,
TE-004,trailer,,Enclosed trailer,,Enclosed trailer,
TE-005,trailer,,Enclosed trailer,,Enclosed trailer,
TE-006,trailer,,Enclosed trailer,,Enclosed trailer,
TE-007,trailer,,Enclosed trailer,,Enclosed trailer,
TE-009,trailer,,Enclosed trailer,,Enclosed trailer,
TE-010,trailer,,Enclosed trailer,,Enclosed trailer,
TE-011,trailer,,Enclosed trailer,,Enclosed trailer,
TE-012,trailer,,Enclosed trailer,,Enclosed trailer,
TE-013,trailer,,Enclosed trailer,,Enclosed trailer,
TE-014,trailer,,Enclosed trailer,,Enclosed trailer,
TE-015,trailer,,Enclosed trailer,,Enclosed trailer,
TE-016,trailer,,Enclosed trailer,,Enclosed trailer,
TE-017,trailer,,Enclosed trailer,,Enclosed trailer,
TE-018,trailer,,Enclosed trailer,,Enclosed trailer,
TE-019,trailer,,Enclosed trailer,,Enclosed trailer,
TE-020,trailer,,Enclosed trailer,,Enclosed trailer,
TE-021,trailer,,Enclosed trailer,,Enclosed trailer,
TE-022,trailer,,Enclosed trailer,,Enclosed trailer,
TE-023,trailer,,Enclosed trailer,,Enclosed trailer,
TE-024,trailer,,Enclosed trailer,,Enclosed trailer,
TE-025,trailer,,Enclosed trailer,,Enclosed trailer,
TE-026,trailer,,Enclosed trailer,,Enclosed trailer,
TE-027,trailer,,Enclosed trailer,,Enclosed trailer,
TE-028,trailer,,Enclosed trailer,,Enclosed trailer,
TE-029,trailer,,Enclosed trailer,,Enclosed trailer,
TE-030,trailer,,Enclosed trailer,,Enclosed trailer,
TE-031,trailer,,Enclosed trailer,,Enclosed trailer,
TE-033,trailer,,Enclosed trailer,,Enclosed trailer,
TE-032,trailer,,Enclosed trailer,,Enclosed trailer,
TE-034,trailer,,Enclosed trailer,,Enclosed trailer,
TE-035,trailer,,Enclosed trailer,,Enclosed trailer,
TE-036,trailer,,Enclosed trailer,,Enclosed trailer,
TE-037,trailer,,Enclosed trailer,,Enclosed trailer,
TE-038,trailer,,Enclosed trailer,,Enclosed trailer,
TE-039,trailer,,Enclosed trailer,,Enclosed trailer,
TE-040,trailer,,Enclosed trailer,,Enclosed trailer,
